,Company name,Symbol,Stock price (USD),Sector,Industry,Market
658,Payoneer Global,PAYO,$8.48,Commercial Services,Miscellaneous Commercial Services,NASDAQ
659,Paychex,PAYX,$119.34,Technology Services,Data Processing Services,NASDAQ
660,People’s United Financial,PBCT,$17.83,Finance,Major Banks,NASDAQ
661,PBF Energy,PBF,$15.76,Energy Minerals,Oil Refining/Marketing,NYSE
662,Prestige Brands,PBH,$58.65,Health Technology,Pharmaceuticals: Other,NYSE
663,Pitney Bowes,PBI,$6.96,Producer Manufacturing,Office Equipment/Supplies,NYSE
664,Petroleo Brasileiro S.A.,PBR,$10.87,Energy Minerals,Integrated Oil,NYSE
665,Paccar,PCAR,$86.38,Producer Manufacturing,Trucks/Construction/Farm Machinery,NASDAQ
666,PG&E Corporation,PCG,$10.90,Utilities,Electric Utilities,NYSE
667,Pagerduty,PD,$41.28,Technology Services,Packaged Software,NYSE
668,PDC Energy Inc,PDCE,$52.27,Energy Minerals,Oil & Gas Production,NASDAQ
669,Pinduoduo Inc,PDD,$95.41,Retail Trade,Internet Retail,NASDAQ
670,Public Service Enterprise Group,PEG,$61.89,Utilities,Electric Utilities,NYSE
671,Penn National Gaming Inc,PENN,$76.57,Consumer Services,Casinos/Gaming,NASDAQ
672,PepsiCo,PEP,$158.20,Consumer Non-Durables,Beverages: Non-Alcoholic,NASDAQ
673,Pfizer,PFE,$41.59,Health Technology,Pharmaceuticals: Major,NYSE
674,P&G,PG,$143.03,Consumer Non-Durables,Household/Personal Care,NYSE
675,Progressive,PGR,$90.42,Finance,Property/Casualty Insurance,NYSE
676,Parker-Hannifin,PH,$295.03,Producer Manufacturing,Industrial Machinery,NYSE
677,PulteGroup,PHM,$48.73,Consumer Durables,Homebuilding,NYSE
678,Pinterest,PINS,$52.58,Technology Services,Internet Software/Services,NYSE
679,Anaplan,PLAN,$64.50,Technology Services,Packaged Software,NYSE
680,Prologis,PLD,$138.34,Finance,Real Estate Investment Trusts,NYSE
681,Planet Fitness,PLNT,$80.21,Consumer Services,Other Consumer Services,NYSE
682,Palantir,PLTR,$24.26,Technology Services,Packaged Software,NYSE
683,Plug Power,PLUG,$32.60,Electronic Technology,Electronic Components,NASDAQ
684,Philip Morris,PM,$97.02,Consumer Non-Durables,Tobacco,NYSE
685,PNC Financial,PNC,$198.73,Finance,Major Banks,NYSE
686,Poshmark,POSH,$23.97,Retail Trade,Apparel/Footwear Retail,NASDAQ
687,PPG Industries,PPG,$159.42,Process Industries,Industrial Specialties,NYSE
688,PPL Corporation,PPL,$28.74,Utilities,Electric Utilities,NYSE
689,Primerica,PRI,$166.03,Finance,Life/Health Insurance,NYSE
690,CC Neuberger Principal Holdings II,PRPB,$9.85,Finance,Financial Conglomerates,NYSE
691,Prudential Financial,PRU,$110.78,Finance,Financial Conglomerates,NYSE
692,Public Storage,PSA,$321.87,Finance,Real Estate Investment Trusts,NYSE
693,Pure Storage,PSTG,$26.07,Electronic Technology,Computer Peripherals,NYSE
